Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	71.66117829589844	31.303025409969322	2.789556061749242	-5.0753761432490885	100.0	24	2.984636828944859		727 days 22:30:00	2.9502379675541146	40 days 00:00:00	5 days 00:00:00
META	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	282.9522684936523	96.74554256365629	2.966118520243242	-5.714780515230933	96.875	36	4.455936179067238	374.90161350462137	727 days 22:30:00	4.346692574359268	11 days 21:00:00	2 days 18:00:00
AAPL	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	180.36899551391582	68.13414230615102	2.9811492177919874	-1.9049964138272868	100.0	34	3.8486966385362016		727 days 22:30:00	3.769785187706254	35 days 22:00:00	4 days 23:00:00
AMZN	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	218.0818012237546	79.17588832349847	3.0392399212942975	-6.272559782637233	96.7741935483871	34	3.894493446730471	34.024897966418514	727 days 22:30:00	3.8186764070453405	12 days 01:00:00	3 days 10:00:00
NFLX	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	78.63527923583977	33.96504229220485	1.7882044967825292	-12.254665094193074	86.66666666666667	34	2.058273883179389	7.549685959601639	727 days 22:30:00	2.0243401703640584	9 days 18:00:00	3 days 03:00:00
MRNA	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	298.1885736544495	100.65258166690847	2.0633899407035003	-18.22111789872034	93.10344827586206	35	4.867161447087589	10.489926144901544	727 days 22:30:00	4.7113055655459535	14 days 00:00:00	3 days 19:00:00
TSLA	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	897.9739396667479	218.82772268047324	1.9600809231528955	-21.670452584560152	90.625	35	8.018544613041225	14.217943520179965	727 days 22:30:00	7.494471383280743	14 days 19:00:00	4 days 00:00:00
TNA	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	446.4923774414062	135.36527603394225	2.4060873320241405	-9.422041075637534	96.29629629629629	33	6.740522329871218	69.15206152705721	727 days 22:30:00	6.497413360118887	13 days 01:00:00	2 days 22:00:00
GLD	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	53.10687227172857	23.94737143121981	3.8203367275838827	-1.7203858972533403	100.0	25	1.8942445129294616		727 days 22:30:00	1.8856230793535822	8 days 03:00:00	3 days 11:00:00
SLV	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	215.85971673965463	78.54393319861666	3.811740777038229	-2.401556166697061	96.55172413793103	32	4.101609799807511	748.8461678534549	727 days 22:30:00	4.048556766652145	14 days 00:00:00	4 days 04:00:00
USO	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	164.39879932403565	63.237064872622575	2.8774936963914883	-8.221351209337236	90.32258064516128	34	3.241890652646994	13.350231782707425	727 days 22:30:00	3.19460691102329	8 days 22:00:00	3 days 04:00:00
BAC	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	63.786264987945614	28.23183278226651	1.3822307346498588	-18.28946251725847	90.9090909090909	27	2.3549734655340933	4.224914289318736	727 days 22:30:00	2.2722786310356513	27 days 22:00:00	5 days 02:00:00
CVX	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	91.21135208129883	38.638193555010744	2.6083745365922963	-11.230582195171667	96.0	30	2.6634110270432148	29.026542239612095	727 days 22:30:00	2.6422405647679836	58 days 01:00:00	6 days 07:00:00
XOM	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	154.53227577209466	60.13800055804725	3.8950860948020907	-5.689396459974539	96.42857142857143	32	3.4367793696665463		727 days 22:30:00	3.4041012161553974	12 days 01:00:00	4 days 10:00:00
QQQ	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	140.65442756250002	55.67630089288367	3.128111038989261	-5.629526160827303	93.10344827586206	35	3.1663129008122	40.20669102794361	727 days 22:30:00	3.117931973575283	16 days 02:00:00	4 days 22:00:00
MSFT	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	147.53381713867185	57.903518620936325	3.4167085874273897	-3.4501811445809216	93.10344827586206	33	3.3020085320040535	65.36180075617006	727 days 22:30:00	3.218625240015438	13 days 20:00:00	4 days 03:00:00
NVDA	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	868.1761961059572	213.99376039513368	2.8770517567646583	-6.881996049455353	100.0	37	7.5149090796052445		727 days 22:30:00	7.366114058981421	11 days 06:00:00	3 days 14:00:00
WMT	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	76.64698844909668	33.21144639635103	2.8293968877549402	-3.410769477307296	100.0	26	2.5484502335884702		727 days 22:30:00	2.5115559716324842	6 days 21:00:00	2 days 16:00:00
BA	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	192.96424575537117	71.89948238773465	2.412132412975269	-9.084431778974334	90.625	39	3.564773535344347	11.439622729038476	727 days 22:30:00	3.4352531514291407	12 days 21:00:00	4 days 03:00:00
DIS	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	184.1781604370117	69.28158320311266	3.6058676104201473	-2.3911742384888246	97.36842105263158	42	2.790582277740793	2165.9826214225022	727 days 22:30:00	2.762275257678648	10 days 22:00:00	3 days 18:00:00
CAT	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	185.95511057128914	69.81424664289852	2.941668779873734	-6.74575862855642	92.85714285714286	31	3.9166587449388675	37.01592847130702	727 days 22:30:00	3.861048955399693	9 days 22:00:00	4 days 01:00:00
IBM	2023-06-27 13:30:00+00:00	2025-06-24 12:00:00+00:00	105.94667434692364	43.923731626574636	3.0723297252083186	-4.153680780277114	92.0	31	2.980382478007298	59.43509291458247	727 days 22:30:00	2.952125398546812	10 days 20:00:00	3 days 12:00:00
