Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-22.5498681640625	-12.084152032515883	-3.517313643326432	-22.549868164062502	5.0	21	-1.3104676762218992	0.010779859440266212	727 days 20:30:00	-1.3171176548642083	16 days 22:00:00	4 days 07:00:00
META	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-48.77108046874998	-28.616858168182425	-3.746921889071452	-50.66705729864409	5.263157894736842	24	-3.5668005987032005	0.014030695498833635	727 days 20:30:00	-3.6200745645694754	20 days 02:00:00	5 days 19:00:00
AAPL	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-39.36217269897463	-22.285368790066162	-3.6323457533852412	-39.36217269897464	6.25	18	-3.076451382963674	0.013240811987447119	727 days 20:30:00	-3.1167335838499954	10 days 20:00:00	3 days 18:00:00
AMZN	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-36.56410369873049	-20.498214838157413	-3.933805644234619	-36.68263130866926	0.0	14	-3.458960047199154	0.0	727 days 20:30:00	-3.480746319901229	14 days 00:00:00	3 days 21:00:00
NFLX	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-31.168268432617168	-17.158967661114445	-1.905324763459744	-40.71187194824216	5.88235294117647	20	-2.1847641519309584	0.25879245314970606	727 days 20:30:00	-2.2817059617199598	26 days 19:00:00	6 days 05:00:00
MRNA	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-74.95523273468015	-50.23163560997218	-3.8122274121867505	-74.9880319213867	0.0	11	-12.050830440438636	0.0	727 days 20:30:00	-12.994695408479728	15 days 19:00:00	6 days 09:00:00
TSLA	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-71.6962608337402	-47.06666196821334	-5.303752376858285	-71.69848495483394	0.0	19	-7.254852422070673	0.0	727 days 20:30:00	-7.330311294979208	13 days 20:00:00	4 days 19:00:00
TNA	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-77.83182968139647	-53.19978544039286	-4.77067113860716	-77.83182968139646	0.0	21	-8.170715308351875	0.0	727 days 20:30:00	-8.543529634041436	16 days 20:00:00	5 days 02:00:00
GLD	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-18.2406111328125	-9.651911453812435	-1.8017991139061484	-18.39921022903609	15.384615384615385	15	-1.516941395916278	0.2824860822419001	727 days 20:30:00	-1.5605719570781607	17 days 22:00:00	7 days 17:00:00
SLV	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-35.69150382995605	-19.94890989336883	-3.089371449644496	-35.7024561691284	6.666666666666667	17	-2.8720942093636825	0.002666937657721958	727 days 20:30:00	-2.904829114822849	17 days 23:00:00	5 days 10:00:00
USO	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-35.783494381713865	-20.006643249806356	-3.7065801317583436	-38.35309438171386	0.0	20	-2.9295336897441633	0.0	727 days 20:30:00	-2.95512018615266	18 days 19:00:00	4 days 19:00:00
BAC	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-22.726991287231428	-12.185542548014949	-1.585399092698048	-31.95455624250276	12.5	17	-1.5534084244017594	0.28862446789734764	727 days 20:30:00	-1.6018884248025222	14 days 01:00:00	5 days 00:00:00
CVX	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-47.999266003417965	-28.07683758489572	-4.159636173853957	-48.22232492237336	0.0	20	-3.346906624016509	0.0	727 days 20:30:00	-3.4102988798064837	9 days 02:00:00	3 days 13:00:00
XOM	2023-06-13 13:30:00+00:00	2025-06-10 10:00:00+00:00	-32.77514198303215	-18.139373065088492	-2.2329497814567265	-34.42454793465116	7.6923076923076925	16	-2.9293475005488734	0.08393922525431731	727 days 20:30:00	-3.028351369108795	22 days 22:00:00	6 days 13:00:00
