Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso	Tag
AAPL	2023-07-14 15:30:00+00:00	2023-07-19 18:30:00+00:00	190.3650054931641	194.6499938964844	5 days 03:00:00						1	long
AAPL	2023-07-20 18:30:00+00:00	2023-07-31 19:30:00+00:00	193.19000244140625	196.0800018310547	11 days 01:00:00	51.0	54.0	104.0	0.014959363078454135	147.3899688720703	2	long
AAPL	2023-08-01 13:30:00+00:00	2023-08-10 13:30:00+00:00	196.2350006103516	179.47999572753906	9 days 00:00:00	51.0	105.0	154.0	-0.08538234683262047	-854.505249023439	3	long
AAPL	2023-11-03 13:30:00+00:00	2023-11-22 17:30:00+00:00	174.24000549316406	191.9149932861328	19 days 04:00:00	53.0	574.0	668.0	0.10144046852467636	936.7743530273438	4	long
AAPL	2023-11-27 14:30:00+00:00	2023-12-14 14:30:00+00:00	190.25070190429688	198.67999267578125	17 days 00:00:00	53.0	675.0	766.0	0.04430622692643005	446.7524108886719	5	long
AAPL	2024-01-29 15:30:00+00:00	2024-02-07 14:30:00+00:00	190.8699951171875	190.63999938964844	4 days 01:00:00	55.0	970.0	999.0	-0.020223192272738277	-212.3000335693328	6	long
AAPL	2024-02-02 16:30:00+00:00	2024-02-20 14:30:00+00:00	187.009994506836	182.0	4 days 22:00:00	-55.0	999.0	1018.0	-0.01941075337917164	-199.65026855468437	7	short
AAPL	2024-02-21 14:30:00+00:00	2024-03-07 14:30:00+00:00	181.6000061035156	169.14999389648438	15 days 00:00:00	-56.0	1081.0	1158.0	0.06855733363761274	697.2006835937484	8	short
AAPL	2024-03-21 17:30:00+00:00	2024-03-27 19:30:00+00:00	172.10009765625	173.0	6 days 02:00:00	63.0	1232.0	1262.0	0.005228947316156862	56.69384765625	9	long
AAPL	2024-04-22 17:30:00+00:00	2024-05-01 19:30:00+00:00	166.27000427246094	172.38499450683594	8 days 02:00:00	-66.0	1379.0	1423.0	-0.03891261835839588	-427.02008056640625	10	short
