Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	caso
AAPL	2023-10-27 14:30:00+00:00	2023-11-22 17:30:00+00:00	168.16000366210938	191.9149932861328	26 days 03:00:00					1
AAPL	2024-01-08 14:30:00+00:00	2024-01-10 20:30:00+00:00	182.0850067138672	185.8300018310547	2 days 06:00:00	54.0	1000.0	1020.0	0.02056728988714851	2
AAPL	2024-04-19 18:30:00+00:00	2024-04-29 16:30:00+00:00	165.02000427246094	174.32769775390625	9 days 22:00:00	61.0	1502.0	1542.0	0.05640342528459508	3
AAPL	2024-08-06 14:30:00+00:00	2024-09-13 16:30:00+00:00	204.97999572753903	223.32000732421875	38 days 02:00:00	52.0	2012.0	2203.0	0.0894722020633536	4
AAPL	2024-11-04 17:30:00+00:00	2024-11-07 20:30:00+00:00	221.1150054931641	227.53500366210935	3 days 03:00:00	53.0	2455.0	2479.0	0.029034656217141075	5
AAPL	2025-01-21 18:30:00+00:00	2025-01-31 14:30:00+00:00	220.4046936035156	247.0399932861328	9 days 20:00:00	54.0	2805.0	2857.0	0.12084724352799525	6
AAPL	2025-04-09 14:30:00+00:00	2025-04-14 17:30:00+00:00	178.50999450683594	203.88499450683597	5 days 03:00:00	75.0	3187.0	3211.0	0.14214890359558163	7
AMZN	2023-10-26 17:30:00+00:00	2023-11-07 18:30:00+00:00	118.77999877929688	143.0800018310547	12 days 01:00:00					1
AMZN	2024-01-05 17:30:00+00:00	2024-01-11 18:30:00+00:00	145.11500549316406	154.7899932861328	6 days 01:00:00	68.0	996.0	1025.0	0.0666711740807846	2
AMZN	2024-04-25 15:30:00+00:00	2024-05-09 16:30:00+00:00	171.36000061035156	190.8699951171875	14 days 01:00:00	62.0	1527.0	1598.0	0.11385384242148144	3
AMZN	2024-06-03 14:30:00+00:00	2024-06-12 14:30:00+00:00	177.2100067138672	187.63999938964844	9 days 00:00:00	66.0	1708.0	1757.0	0.058856680100588754	4
