Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	caso
AAPL	2023-07-24 13:30:00+00:00	2023-07-28 15:30:00+00:00	193.41000366210932	196.1999969482422	4 days 02:00:00					1
AAPL	2023-12-11 18:30:00+00:00	2023-12-14 14:30:00+00:00	192.47000122070312	198.67999267578125	2 days 20:00:00	51.0	913.0	930.0	0.032264723934600115	2
AAPL	2023-12-18 17:30:00+00:00	2023-12-20 17:30:00+00:00	195.25	197.3500061035156	2 days 00:00:00	52.0	947.0	961.0	0.010755473001360372	3
AAPL	2024-05-10 18:30:00+00:00	2024-05-16 13:30:00+00:00	182.72999572753903	190.51600646972656	5 days 19:00:00	57.0	1642.0	1665.0	0.042609374072316575	4
AAPL	2024-05-24 13:30:00+00:00	2024-06-03 13:30:00+00:00	188.82000732421875	192.97999572753903	10 days 00:00:00	57.0	1707.0	1742.0	0.022031502181743212	5
AAPL	2024-05-31 18:30:00+00:00	2024-06-03 13:30:00+00:00	190.5500030517578	192.97999572753903	2 days 19:00:00					6
AAPL	2024-06-11 14:30:00+00:00	2024-06-12 17:30:00+00:00	200.8925018310547	216.9275054931641	1 days 03:00:00	55.0	1786.0	1796.0	0.07981882606845336	7
AAPL	2024-07-01 15:30:00+00:00	2024-07-10 19:30:00+00:00	215.009994506836	231.759994506836	9 days 04:00:00	55.0	1878.0	1920.0	0.0779033553227102	8
AAPL	2024-10-16 16:30:00+00:00	2024-10-21 19:30:00+00:00	230.34500122070312	236.134994506836	5 days 03:00:00	56.0	2400.0	2424.0	0.02513617945016855	9
AAPL	2024-12-09 15:30:00+00:00	2024-12-11 15:30:00+00:00	244.47999572753903	249.42999267578125	2 days 00:00:00	54.0	2653.0	2667.0	0.020247042845005447	10
AAPL	2024-12-19 17:30:00+00:00	2024-12-26 19:30:00+00:00	250.58999633789065	258.6099853515625	7 days 02:00:00	53.0	2711.0	2737.0	0.03200442607795817	11
AAPL	2025-05-19 16:30:00+00:00	2025-05-29 13:30:00+00:00	208.4900054931641	203.2700042724609	9 days 21:00:00	66.0	3414.0	3460.0	-0.025037177241929442	12
META	2023-08-02 17:30:00+00:00	2023-08-04 15:30:00+00:00	313.7300109863281	314.6600036621094	1 days 22:00:00					1
META	2023-10-16 13:30:00+00:00	2023-10-17 19:30:00+00:00	318.6400146484375	322.29998779296875	1 days 06:00:00	31.0	640.0	653.0	0.011486232037019484	2
META	2024-01-17 17:30:00+00:00	2024-01-24 16:30:00+00:00	365.75	391.9620056152344	6 days 23:00:00	27.0	1080.0	1114.0	0.07166645417699069	3
META	2024-02-01 14:30:00+00:00	2024-02-02 16:30:00+00:00	395.5	477.0199890136719	1 days 02:00:00	27.0	1154.0	1163.0	0.20611880913697056	4
META	2024-02-14 14:30:00+00:00	2024-02-15 17:30:00+00:00	467.9299926757813	486.9407043457031	1 days 03:00:00	27.0	1217.0	1227.0	0.04062725614404883	5
META	2024-02-21 17:30:00+00:00	2024-02-22 18:30:00+00:00	466.3049926757813	487.8399963378906	1 days 01:00:00	29.0	1248.0	1256.0	0.0461822283706117	6
META	2024-03-06 15:30:00+00:00	2024-03-08 14:30:00+00:00	495.2999877929688	514.1900024414062	1 days 23:00:00	28.0	1316.0	1329.0	0.03813853243286025	7
META	2024-07-01 17:30:00+00:00	2024-07-05 19:30:00+00:00	502.4425048828125	537.1599731445312	4 days 02:00:00	29.0	1879.0	1898.0	0.06909739507372303	8
META	2024-08-19 17:30:00+00:00	2024-08-22 13:30:00+00:00	526.2000122070312	536.885009765625	2 days 20:00:00	29.0	2113.0	2130.0	0.020305962202049166	9
META	2024-10-11 15:30:00+00:00	2024-10-14 13:30:00+00:00	585.322021484375	594.4000244140625	2 days 22:00:00	27.0	2377.0	2382.0	0.0155094163494236	10
META	2024-12-09 20:30:00+00:00	2024-12-11 16:30:00+00:00	610.3300170898438	634.1400146484375	1 days 20:00:00	26.0	2657.0	2667.0	0.03901167711220199	11
META	2025-05-12 14:30:00+00:00	2025-05-13 14:30:00+00:00	627.5499877929688	653.4349975585938	1 days 00:00:00	26.0	3376.0	3383.0	0.041247725709723904	12
META	2025-05-16 17:30:00+00:00	2025-05-21 14:30:00+00:00	634.739990234375	640.8200073242188	4 days 21:00:00	27.0	3407.0	3425.0	0.009578752218839526	13
SPY	2023-07-21 14:30:00+00:00	2023-07-27 15:30:00+00:00	452.2999877929688	457.7049865722656	6 days 01:00:00					1
SPY	2023-07-28 13:30:00+00:00	2023-07-31 19:30:00+00:00	455.8800048828125	456.6799926757813	3 days 06:00:00	21.0	255.0	268.0	0.001754820971308968	2
SPY	2023-12-07 14:30:00+00:00	2023-12-14 16:30:00+00:00	456.9100036621094	471.9500122070313	7 days 02:00:00	21.0	895.0	932.0	0.032916785415896044	3
SPY	2023-12-21 15:30:00+00:00	2023-12-28 18:30:00+00:00	471.1799926757813	477.0382080078125	7 days 03:00:00	21.0	966.0	997.0	0.012433073184544563	4
SPY	2024-01-17 20:30:00+00:00	2024-01-22 14:30:00+00:00	470.8800048828125	484.0703125	4 days 18:00:00	22.0	1083.0	1098.0	0.028012035933592472	5
SPY	2024-02-01 14:30:00+00:00	2024-02-02 19:30:00+00:00	485.25	494.989990234375	1 days 05:00:00	22.0	1154.0	1166.0	0.0200721076442556	6
SPY	2024-02-14 14:30:00+00:00	2024-02-16 18:30:00+00:00	496.7900085449219	501.6700134277344	2 days 04:00:00	22.0	1217.0	1235.0	0.009823073731103804	7
SPY	2024-02-21 20:30:00+00:00	2024-02-23 14:30:00+00:00	494.4299926757813	509.2699890136719	1 days 18:00:00	22.0	1251.0	1259.0	0.030014353007953076	8
SPY	2024-03-06 15:30:00+00:00	2024-03-08 14:30:00+00:00	509.3500061035156	515.4400024414062	1 days 23:00:00	22.0	1316.0	1329.0	0.01195640770573192	9
SPY	2024-03-11 15:30:00+00:00	2024-03-13 16:30:00+00:00	509.4800109863281	516.3800048828125	2 days 01:00:00	22.0	1338.0	1353.0	0.013543208266652673	10
SPY	2024-03-18 13:30:00+00:00	2024-03-21 15:30:00+00:00	514.0	523.4000244140625	3 days 02:00:00	22.0	1371.0	1394.0	0.018287985241366655	11
SPY	2024-03-27 16:30:00+00:00	2024-03-28 18:30:00+00:00	520.0800170898438	523.5250244140625	1 days 02:00:00	22.0	1423.0	1432.0	0.0066239947912161146	12
SPY	2024-04-02 17:30:00+00:00	2024-04-04 15:30:00+00:00	517.6699829101562	522.77001953125	1 days 22:00:00	23.0	1445.0	1457.0	0.009851907179209363	13
SPY	2024-05-24 13:30:00+00:00	2024-06-03 13:30:00+00:00	527.8499755859375	529.02001953125	10 days 00:00:00	22.0	1707.0	1742.0	0.0022166221453618906	14
SPY	2024-08-29 13:30:00+00:00	2024-08-29 15:30:00+00:00	559.77001953125	562.1300048828125	0 days 02:00:00	21.0	2165.0	2167.0	0.004215990977042283	15
SPY	2024-10-16 16:30:00+00:00	2024-10-18 17:30:00+00:00	580.8499755859375	584.6300048828125	2 days 01:00:00	20.0	2399.0	2414.0	0.006507754938031685	16
SPY	2024-12-11 14:30:00+00:00	2024-12-11 17:30:00+00:00	605.780029296875	607.75	0 days 03:00:00	20.0	2665.0	2668.0	0.0032519571591218543	17
SPY	2025-02-03 15:30:00+00:00	2025-02-06 20:30:00+00:00	596.3800048828125	604.77001953125	3 days 05:00:00	20.0	2900.0	2926.0	0.014068235990048139	18
SPY	2025-05-08 14:30:00+00:00	2025-05-08 16:30:00+00:00	564.4652709960938	568.7999877929688	0 days 02:00:00	22.0	3362.0	3364.0	0.007679333024732671	19
