Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	caso
AAPL	2023-10-27 14:30:00+00:00	2023-11-22 17:30:00+00:00	168.16000366210938	191.9149932861328	26 days 03:00:00					1
AAPL	2024-01-08 14:30:00+00:00	2024-01-10 20:30:00+00:00	182.0850067138672	185.8300018310547	2 days 06:00:00	54.0	930.0	950.0	0.02056728988714851	2
AAPL	2024-04-19 18:30:00+00:00	2024-04-29 16:30:00+00:00	165.02000427246094	174.32769775390625	9 days 22:00:00	61.0	1432.0	1472.0	0.05640342528459508	3
AAPL	2024-08-06 14:30:00+00:00	2024-11-07 20:30:00+00:00	204.97999572753903	227.53500366210932	93 days 06:00:00	52.0	1942.0	2409.0	0.11003516638057964	4
AAPL	2024-11-04 17:30:00+00:00	2024-11-07 20:30:00+00:00	221.1150054931641	227.53500366210932	3 days 03:00:00					5
AAPL	2025-01-21 18:30:00+00:00	2025-01-31 14:30:00+00:00	220.4046936035156	247.0399932861328	9 days 20:00:00	54.0	2735.0	2787.0	0.12084724352799525	6
AAPL	2025-04-09 14:30:00+00:00	2025-04-14 17:30:00+00:00	178.50999450683594	203.884994506836	5 days 03:00:00	74.0	3117.0	3141.0	0.14214890359558185	7
AMD	2023-09-27 13:30:00+00:00	2023-09-28 15:30:00+00:00	96.81999969482422	102.51000213623048	1 days 02:00:00					1
AMD	2024-02-21 17:30:00+00:00	2024-02-22 18:30:00+00:00	163.10000610351562	181.72999572753903	1 days 01:00:00	61.0	1143.0	1151.0	0.11422433431547141	2
AMD	2024-06-20 14:30:00+00:00	2024-06-28 13:30:00+00:00	163.58999633789062	160.1199951171875	7 days 23:00:00	68.0	1722.0	1763.0	-0.021211573435920505	3
AMD	2024-08-08 13:30:00+00:00	2024-08-20 13:30:00+00:00	132.0	156.6699981689453	12 days 00:00:00	82.0	1955.0	2011.0	0.186893925522313	4
AMD	2024-09-09 13:30:00+00:00	2024-09-19 16:30:00+00:00	136.05999755859375	157.6300048828125	10 days 03:00:00	94.0	2102.0	2161.0	0.15853305682244856	5
AMD	2025-04-09 16:30:00+00:00	2025-04-09 19:30:00+00:00	81.86009979248047	95.9800033569336	0 days 03:00:00	182.0	3119.0	3122.0	0.1724882280897262	6
AMZN	2023-10-26 17:30:00+00:00	2023-11-07 18:30:00+00:00	118.77999877929688	143.0800018310547	12 days 01:00:00					1
